variant,seed,length_group,num_samples,avg_loc,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA
chunk_train_off,9,51-100,11,74.0909090909091,1.0,0.35454545454545455,0.8426308539944904,0.893939393939394,0.9176406926406926,0.0
chunk_train_off,9,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8333333333333334,0.9082590557590557,0.0
chunk_train_off,9,>100,12,334.75,0.75,0.26666666666666666,0.598406862745098,0.44305555555555554,0.47449452003023435,3.5
chunk_train_on,0,21-50,14,29.714285714285715,1.0,0.20714285714285716,0.7595238095238095,0.8803571428571428,0.8346749811035524,0.0
chunk_train_on,0,51-100,11,74.0909090909091,0.9090909090909091,0.2636363636363636,0.7064049586776859,0.9090909090909091,0.9090909090909091,0.0
chunk_train_on,0,<=20,13,13.153846153846153,1.0,0.3538461538461538,0.9099358974358973,0.7948717948717949,0.8633872608872609,0.0
chunk_train_on,0,>100,12,334.75,0.6666666666666666,0.20833333333333337,0.49387254901960786,0.49583333333333335,0.4946869488536156,2.0
chunk_train_on,1,21-50,14,29.714285714285715,1.0,0.35,0.9761904761904762,1.0,0.9947619047619047,0.0
chunk_train_on,1,51-100,11,74.0909090909091,1.0,0.38181818181818183,0.8767217630853995,0.9545454545454546,0.9545454545454546,0.0
chunk_train_on,1,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_train_on,1,>100,12,334.75,0.8333333333333334,0.30000000000000004,0.7185457516339869,0.5952380952380952,0.6339795918367347,1.0
chunk_train_on,2,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9682539682539683,1.0,0.9910714285714286,0.0
chunk_train_on,2,51-100,11,74.0909090909091,1.0,0.39999999999999997,0.8963498622589531,0.9545454545454546,0.9497073913740581,0.0
chunk_train_on,2,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8858231583231583,0.0
chunk_train_on,2,>100,12,334.75,0.75,0.275,0.6150735294117647,0.5277777777777778,0.559921684723272,1.5
chunk_train_on,3,21-50,14,29.714285714285715,1.0,0.32142857142857145,0.9365079365079365,1.0,0.9910714285714286,0.0
chunk_train_on,3,51-100,11,74.0909090909091,1.0,0.39999999999999997,0.8963498622589531,0.9545454545454546,0.9545454545454546,0.0
